Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
784,2:08:24,Hiroyuki Horibata,JPN,28 OCT 1986,2,Fukuoka (JPN),02 DEC 2012,Men,Marathon
784,2:08:24,Haftom Welday,GER,13 MAR 1990,30,Valencia (ESP),03 DEC 2023,Men,Marathon
784,2:08:24,Stephen Kiogora,KEN,10 NOV 1974,3,Frankfurt (GER),26 OCT 2008,Men,Marathon
787,2:27:17,Tsehay Alemu Maru,ETH,28 JUN 1996,1,Firenze (ITA),28 NOV 2021,Women,Marathon
787,2:27:17,Peninah Arusei,KEN,23 FEB 1979,3,Wien (AUT),17 APR 2011,Women,Marathon
787,2:27:17,Elana Meyer,RSA,10 OCT 1966,3,"Chicago, IL (USA)",24 OCT 1999,Women,Marathon
787,2:27:17,Renee Baillie,USA,25 DEC 1981,6,"Chicago, IL (USA)",07 OCT 2012,Women,Marathon
788,2:08:25,Daniel Kirwa Too,KEN,21 NOV 1976,1,Ljubljana (SLO),23 OCT 2011,Men,Marathon
788,2:08:25,Kensuke Horio,JPN,12 AUG 1996,15,Tokyo (JPN),06 MAR 2022,Men,Marathon
788,2:08:25,Gerba Dibaba,ETH,14 OCT 2000,4,Milano (ITA),07 APR 2024,Men,Marathon
788,2:08:25,Wegayehu Girma Tefera,ETH,28 SEP 1988,3,Seoul (KOR),07 NOV 2010,Men,Marathon
788,2:08:25,Paul Kipsambu,KEN,18 FEB 1962,2,Paris (FRA),04 APR 1999,Men,Marathon
791,2:27:18,Anne Bererwe,KEN,04 NOV 1982,2,Chongqing (CHN),19 MAR 2017,Women,Marathon
791,2:27:18,Winny Jepkorir,KEN,10 JUN 1990,3,Valencia (ESP),19 NOV 2017,Women,Marathon
791,2:27:18,Florence Barsosio,KEN,11 AUG 1976,2,Paris (FRA),10 APR 2005,Women,Marathon
791,2:27:18,Olga Glok,RUS,16 DEC 1982,2,Wien (AUT),15 APR 2012,Women,Marathon
791,2:27:18,Tecla Chebet,KEN,02 JAN 1991,1,Linz (AUT),16 APR 2023,Women,Marathon
793,2:08:26,Jake Robertson,NZL,14 NOV 1989,3,Otsu (JPN),04 MAR 2018,Men,Marathon
793,2:08:26,Ezekiel Kemboi Omullo,KEN,10 DEC 1987,2,Gold Coast (AUS),02 JUL 2023,Men,Marathon
793,2:08:26,Aperumoi Kachapin,KEN,12 JAN 1990,10,Amsterdam (NED),15 OCT 2017,Men,Marathon
793,2:08:26,Kipkemoi Kipsang,KEN,10 OCT 1990,3,Sevilla (ESP),19 FEB 2017,Men,Marathon
793,2:08:26,Dario Ivanovski,MKD,15 MAY 1997,20,Sevilla (ESP),18 FEB 2024,Men,Marathon
793,2:08:26,Tessema Abshero,ETH,09 DEC 1986,4,Hamburg (GER),27 APR 2008,Men,Marathon
796,2:27:19,Beatrice Omwanza,KEN,24 FEB 1974,4,Berlin (GER),26 SEP 2004,Women,Marathon
796,2:27:19,Eunice Kales,KEN,06 DEC 1984,2,Melbourne (AUS),13 OCT 2013,Women,Marathon
798,2:27:20,Birhan Mhretu,ETH,13 MAR 1999,6,Xiamen (CHN),05 JAN 2020,Women,Marathon
798,2:27:20,Aleksandra Brzezińska,POL,30 JUL 1991,38,Valencia (ESP),03 DEC 2023,Women,Marathon
798,2:27:20,Sung-Eun Kim,KOR,24 FEB 1989,4,Seoul (KOR),17 MAR 2013,Women,Marathon
798,2:27:20,Misaki Kato,JPN,15 JUN 1991,8,Nagoya (JPN),14 MAR 2021,Women,Marathon
799,2:08:27,Tolosa Geleto,ETH,10 APR 2001,5,Milano (ITA),07 APR 2024,Men,Marathon
799,2:08:27,Toshihiko Seko,JPN,15 JUL 1956,1,"Chicago, IL (USA)",26 OCT 1986,Men,Marathon
799,2:08:27,Fikadu Kebede,ETH,20 SEP 1986,9,Dubai (UAE),25 JAN 2019,Men,Marathon
799,2:08:27,Beraki Beyene Zerea,ERI,06 FEB 1980,2,Hengshui (CHN),20 SEP 2014,Men,Marathon
799,2:08:27,Zembaba Yigeze,ETH,26 SEP 1983,2,"Houston, TX (USA)",17 JAN 2010,Men,Marathon
802,2:27:21,Megertu Ifa Geletu,ETH,20 SEP 1991,2,Firenze (ITA),28 NOV 2021,Women,Marathon
803,2:27:22,Ruth Jepkoech Kutol,KEN,16 MAY 1973,1,Dublin (IRL),27 OCT 2003,Women,Marathon
803,2:27:22,Mayumi Ichikawa,JPN,03 MAY 1976,7,Nagoya (JPN),11 MAR 2001,Women,Marathon
803,2:27:22,Chieko Yamazaki,JPN,28 MAY 1977,6,Nagoya (JPN),13 MAR 2005,Women,Marathon
803,2:27:22,Bun-Hui Jo,PRK,29 NOV 1979,1,Pyongyang (PRK),08 APR 2006,Women,Marathon
803,2:27:22,Tsehay Gebre Getiso,ETH,11 SEP 1992,7,Xiamen (CHN),05 JAN 2020,Women,Marathon
803,2:27:22,Kaltoum Bouaasayriya,MAR,23 AUG 1982,1,Marrakech (MAR),29 JAN 2023,Women,Marathon
804,2:08:28,Koji Shimizu,JPN,17 OCT 1969,4,Otsu (JPN),02 MAR 2003,Men,Marathon
804,2:08:28,Gidena Gebremedhin,ETH,1982,5,See Genezareth (ISR),12 JAN 2012,Men,Marathon
804,2:08:28,Habtamu Asefa,ETH,29 MAR 1985,9,Dubai (UAE),25 JAN 2013,Men,Marathon
804,2:08:28,Richard Sigei,KEN,11 APR 1985,5,Warszawa (POL),26 APR 2015,Men,Marathon
804,2:08:28,Daisuke Hosomori,JPN,05 MAY 1994,23,Otsu (JPN),28 FEB 2021,Men,Marathon
804,2:08:28,Jackson Kiprop,UGA,20 OCT 1986,4,Košice (SVK),03 OCT 2021,Men,Marathon
809,2:27:23,Judith Cherono,KEN,29 NOV 1994,4,Istanbul (TUR),07 NOV 2021,Women,Marathon
809,2:27:23,Akemi Ozaki,JPN,12 OCT 1977,2,Sapporo (JPN),30 AUG 2009,Women,Marathon
810,2:08:29,Yuki Nakamura,JPN,24 JUL 1995,1,Hofu (JPN),04 DEC 2022,Men,Marathon
810,2:08:29,Kazuya Azekami,JPN,14 NOV 1996,23,Osaka (JPN),26 FEB 2023,Men,Marathon
810,2:08:29,Abiyote Abinet,ETH,10 MAY 1989,8,Doha (QAT),20 JAN 2023,Men,Marathon
810,2:08:29,Daniel Kiprugut,KEN,25 APR 1978,5,Paris (FRA),11 APR 2010,Men,Marathon
811,2:27:24,Angelina Kanana,KEN,16 DEC 1965,1,Hamburg (GER),30 APR 1995,Women,Marathon
811,2:27:24,Nastassia Ivanova,BLR,04 NOV 1982,2,Düsseldorf (GER),29 APR 2012,Women,Marathon
813,2:27:26,Lilia Fisikovici,MDA,29 MAR 1989,14,London (GBR),28 APR 2019,Women,Marathon
813,2:27:26,Shewarge Alene,ETH,09 DEC 1994,3,Cape Town (RSA),15 OCT 2023,Women,Marathon
813,2:27:26,Alisa Vainio,FIN,16 NOV 1997,10,Sevilla (ESP),19 FEB 2023,Women,Marathon
814,2:08:30,Dejene Yirdawe,ETH,21 AUG 1978,2,Seoul (KOR),14 MAR 2009,Men,Marathon
814,2:08:30,Solomon Kiptoo,KEN,01 JAN 1989,6,Eindhoven (NED),14 OCT 2012,Men,Marathon
814,2:08:30,Young-Joon Ji,KOR,15 OCT 1981,1,Daegu (KOR),12 APR 2009,Men,Marathon
814,2:08:30,Kiyoshi Koga,JPN,30 APR 1996,4,Oita (JPN),06 FEB 2022,Men,Marathon
814,2:08:30,David Kemboi,KEN,23 NOV 1974,2,Chuncheon (KOR),27 OCT 2013,Men,Marathon
814,2:08:30,Ryo Osaki,JPN,19 MAY 1995,24,Osaka (JPN),26 FEB 2023,Men,Marathon
814,2:08:30,Dionicio Cerón,MEX,09 OCT 1965,1,London (GBR),02 APR 1995,Men,Marathon
816,2:27:27,Michi Numata,JPN,06 MAY 1989,9,Nagoya (JPN),13 MAR 2016,Women,Marathon
816,2:27:27,Yuri Karasawa,JPN,25 NOV 1995,6,Osaka (JPN),26 FEB 2023,Women,Marathon
818,2:27:28,Seulki An,KOR,29 MAY 1992,6,Seoul (KOR),17 MAR 2019,Women,Marathon
819,2:27:29,Amina Bettiche,ALG,14 DEC 1987,21,Sevilla (ESP),18 FEB 2024,Women,Marathon
819,2:27:29,Kristina Hendel,CRO,13 MAY 1996,5,Hamburg (GER),24 APR 2022,Women,Marathon
819,2:27:29,Kamila Gradus,POL,19 MAR 1967,1,Nagoya (JPN),12 MAR 1995,Women,Marathon
819,2:27:29,Darya Mykhaylova,UKR,29 APR 1989,9,London (GBR),04 OCT 2020,Women,Marathon
821,2:08:31,Daiji Kawai,JPN,22 SEP 1991,16,Tokyo (JPN),06 MAR 2022,Men,Marathon
821,2:08:31,Vanderlei Cordeiro De Lima,BRA,11 AUG 1969,2,Tokyo (JPN),08 FEB 1998,Men,Marathon
821,2:08:31,Samson Kandie,KEN,20 APR 1971,3,Berlin (GER),26 SEP 1999,Men,Marathon
821,2:08:31,Siraj Amda Gena,ETH,12 NOV 1984,8,Frankfurt (GER),30 OCT 2011,Men,Marathon
823,2:27:30,Dongmei Ai,CHN,15 OCT 1981,3,Beijing (CHN),04 OCT 1997,Women,Marathon
823,2:27:30,Solange Jesus,POR,07 JAN 1987,22,Sevilla (ESP),18 FEB 2024,Women,Marathon
823,2:27:30,Honoka Tanaike,JPN,21 MAR 1997,9,Nagoya (JPN),12 MAR 2023,Women,Marathon
825,2:08:32,Iaroslav Mușinschi,MDA,08 AUG 1976,1,Düsseldorf (GER),02 MAY 2010,Men,Marathon
825,2:08:32,Lusapho April,RSA,24 MAY 1982,1,Hannover (GER),05 MAY 2013,Men,Marathon
825,2:08:32,William Kibor,KEN,10 JAN 1985,5,Wien (AUT),15 APR 2012,Men,Marathon
825,2:08:32,Gidamis Shahanga,TAN,04 SEP 1957,2,Berlin (GER),30 SEP 1990,Men,Marathon
825,2:08:32,Serhiy Lebid,UKR,15 JUL 1975,4,Seoul (KOR),09 NOV 2014,Men,Marathon
825,2:08:32,Shewalem Yergalem,ETH,,13,Hamburg (GER),24 APR 2022,Men,Marathon
825,2:08:32,Andrew Ben Kimtai,KEN,12 AUG 1989,3,Sevilla (ESP),25 FEB 2018,Men,Marathon
825,2:08:32,Abdi Ibrahim Abdo,BRN,24 APR 1997,2,Roma (ITA),08 APR 2018,Men,Marathon
825,2:08:32,Gilbert Kibet,KEN,1994,6,Daegu (KOR),07 APR 2024,Men,Marathon
826,2:27:31,Dominique Scott,RSA,24 JUN 1992,16,"Chicago, IL (USA)",08 OCT 2023,Women,Marathon
827,2:27:32,Adenech Zekiros,ETH,26 MAR 1982,2,Rotterdam (NED),13 APR 2008,Women,Marathon
827,2:27:32,Mercy Kwambai,KEN,,3,Firenze (ITA),28 NOV 2021,Women,Marathon
827,2:27:32,Askale Alemaheyu,ETH,11 JAN 1996,2,Hengshui (CHN),29 SEP 2019,Women,Marathon
827,2:27:32,Gladys Kipsoi,KEN,21 MAR 1986,4,"Houston, TX (USA)",14 JAN 2018,Women,Marathon
827,2:27:32,Derebe Godan Gebesa,ETH,13 MAR 1988,4,Torino (ITA),18 NOV 2012,Women,Marathon
827,2:27:32,Miranda Boonstra,NED,29 AUG 1972,4,Rotterdam (NED),15 APR 2012,Women,Marathon
827,2:27:32,Izumi Maki,JPN,10 DEC 1968,1,Nagoya (JPN),10 MAR 1996,Women,Marathon
827,2:27:32,Natalya Volgina,RUS,15 MAR 1977,2,Paris (FRA),09 APR 2006,Women,Marathon
834,2:08:33,Charles Spedding,GBR,09 MAY 1952,2,London (GBR),21 APR 1985,Men,Marathon
834,2:08:33,Arne Gabius,GER,22 MAR 1981,4,Frankfurt (GER),25 OCT 2015,Men,Marathon
834,2:08:33,Abraham Kiprotich,FRA,17 AUG 1983,1,Daegu (KOR),14 APR 2013,Men,Marathon
834,2:08:33,Manuel Matias,POR,30 MAR 1962,1,Kyongju (KOR),20 MAR 1994,Men,Marathon
834,2:08:33,Kenji Yamamoto,JPN,17 NOV 1989,18,Tokyo (JPN),03 MAR 2024,Men,Marathon
834,2:08:33,Danilo Goffi,ITA,03 DEC 1972,3,Rotterdam (NED),19 APR 1998,Men,Marathon
834,2:08:33,Aredom Degefa,ETH,21 NOV 1993,7,Daegu (KOR),07 APR 2024,Men,Marathon
834,2:08:33,Philip Tarus,KEN,11 SEP 1974,1,"San Diego, CA (USA)",23 MAY 1999,Men,Marathon
835,2:27:33,Helena Javornik,SLO,26 MAR 1966,1,Amsterdam (NED),17 OCT 2004,Women,Marathon
835,2:27:33,Shamilah Tekaa Kipsiror,KEN,09 OCT 1986,4,Roma (ITA),17 MAR 2024,Women,Marathon
835,2:27:33,Failuna Matanga,TAN,28 OCT 1992,5,Hannover (GER),14 APR 2024,Women,Marathon
838,2:27:34,Medhin Gebreslassie,ETH,05 APR 1999,3,Mumbai (IND),21 JAN 2024,Women,Marathon
839,2:27:35,Francie Larrieu-Smith,USA,23 NOV 1952,2,London (GBR),21 APR 1991,Women,Marathon
839,2:27:35,Yinli He,CHN,20 SEP 1988,2,Chongqing (CHN),22 MAR 2015,Women,Marathon
839,2:27:35,Hisami Ishii,JPN,10 AUG 1995,5,Nagoya (JPN),12 MAR 2017,Women,Marathon
839,2:27:35,Yetsehay Desalegn,ETH,28 OCT 1991,2,Hangzhou (CHN),04 NOV 2018,Women,Marathon
842,2:08:34,Harun Toroitich,KEN,1978,6,Paris (FRA),06 APR 2003,Men,Marathon
842,2:08:34,Wan-Ki Kim,KOR,08 JUL 1968,2,Kyongju (KOR),20 MAR 1994,Men,Marathon
842,2:08:34,Derek Clayton,AUS,17 NOV 1942,1,Antwerpen (BEL),30 MAY 1969,Men,Marathon
842,2:08:34,Benard Kimeli,KEN,10 SEP 1995,19,Tokyo (JPN),03 MAR 2024,Men,Marathon
843,2:27:36,Frith Van Der Merwe,RSA,26 MAY 1964,1,Port Elizabeth (RSA),24 FEB 1990,Women,Marathon
844,2:27:37,Cui Lu,CHN,29 MAR 1987,9,Beijing (CHN),13 OCT 2002,Women,Marathon
844,2:27:37,Yuliya Gromova,RUS,21 MAY 1974,1,"San Diego, CA (USA)",31 MAY 2009,Women,Marathon
844,2:27:37,Naomi Tuei,KEN,20 MAY 1993,4,Valencia (ESP),19 NOV 2017,Women,Marathon
844,2:27:37,Olesya Nurgalieva,RUS,09 JAN 1976,2,Frankfurt (GER),26 OCT 2008,Women,Marathon
844,2:27:37,Olga Kovpotina,RUS,10 JAN 1968,2,St. Paul (USA),07 OCT 2001,Women,Marathon
846,2:08:35,Junichi Tsubouchi,JPN,22 AUG 1987,25,Otsu (JPN),28 FEB 2021,Men,Marathon
846,2:08:35,Haile Haja Gemeda,ETH,22 OCT 1988,4,Roma (ITA),17 MAR 2013,Men,Marathon
846,2:08:35,Kentaro Nakamoto,JPN,07 DEC 1982,2,Oita (JPN),03 FEB 2013,Men,Marathon
846,2:08:35,Ryuji Takei,JPN,18 MAY 1971,1,Otsu (JPN),03 MAR 2002,Men,Marathon
846,2:08:35,Geoffrey Gikuni,KEN,11 MAR 1984,1,Dublin (IRL),31 OCT 2011,Men,Marathon
849,2:27:38,Andrea Paola Bonilla,ECU,05 DEC 1986,16,Valencia (ESP),05 DEC 2021,Women,Marathon
849,2:27:38,Ruth Wanjiru,KEN,11 SEP 1981,7,Osaka (JPN),25 JAN 2009,Women,Marathon
849,2:27:38,Alla Zhilyayeva,RUS,05 FEB 1969,1,Reims (FRA),22 OCT 1995,Women,Marathon
851,2:08:36,Jackson Kipngok,KEN,14 DEC 1960,4,Berlin (GER),28 SEP 1997,Men,Marathon
851,2:08:36,Samson Kiptoo Bungei,KEN,17 NOV 1982,2,Köln (GER),04 OCT 2009,Men,Marathon
851,2:08:36,Satoshi Osaki,JPN,04 JUN 1976,3,Otsu (JPN),02 MAR 2008,Men,Marathon
851,2:08:36,David Richard Nerurkar,GBR,06 JAN 1964,5,London (GBR),13 APR 1997,Men,Marathon
851,2:08:36,Fikre Assefa,ETH,18 JAN 1989,2,Košice (SVK),01 OCT 2017,Men,Marathon
851,2:08:36,Ahmad Hassan Abdullah,QAT,04 APR 1981,5,Hamburg (GER),29 APR 2012,Men,Marathon
851,2:08:36,Lahsene Bouchikhi,BEL,01 JUN 1993,31,Valencia (ESP),03 DEC 2023,Men,Marathon
852,2:27:39,Webalem Bazanew,ETH,15 SEP 1989,1,Castellón (ESP),16 FEB 2020,Women,Marathon
852,2:27:39,Lillian Jelagat,KEN,23 JAN 1989,1,Münster (GER),11 SEP 2022,Women,Marathon
854,2:27:40,Chaofeng Jia,CHN,16 NOV 1988,1,Beijing (CHN),25 NOV 2012,Women,Marathon
854,2:27:40,Leah Kiprono,KEN,15 APR 1980,1,Zhengzhou (CHN),27 MAR 2016,Women,Marathon
854,2:27:40,Nurit Shimels,ETH,14 NOV 1995,2,Cape Town (RSA),15 SEP 2019,Women,Marathon
857,2:27:41,Nigist Muluneh,ETH,15 MAY 1997,4,Riyadh (KSA),11 FEB 2023,Women,Marathon
857,2:27:41,Izabela Paszkiewicz,POL,09 JAN 1988,7,Berlin (GER),26 SEP 2021,Women,Marathon
857,2:27:41,Priscah Jepleting Cherono,KEN,27 JUN 1980,1,Venezia (ITA),23 OCT 2016,Women,Marathon
857,2:27:41,Beatrice Toroitich,KEN,15 DEC 1981,3,Hamburg (GER),29 APR 2012,Women,Marathon
857,2:27:41,Asmae Leghzaoui,MAR,30 AUG 1976,1,Ottawa (CAN),24 MAY 2009,Women,Marathon
857,2:27:41,Sachiyo Seiyama,JPN,06 NOV 1972,2,Nagoya (JPN),10 MAR 1996,Women,Marathon
858,2:08:37,Tsuyoshi Ogata,JPN,11 MAY 1973,6,Fukuoka (JPN),07 DEC 2003,Men,Marathon
858,2:08:37,Abderrazak Charik,FRA,19 SEP 1997,10,Amsterdam (NED),15 OCT 2023,Men,Marathon
858,2:08:37,Jose Marcio Leao Da Silva,BRA,22 NOV 1990,11,Milano (ITA),03 APR 2022,Men,Marathon
861,2:08:38,Hironori Kishimoto,JPN,07 OCT 2000,3,Oita (JPN),04 FEB 2024,Men,Marathon
861,2:08:38,Girma Bekele,ETH,29 DEC 1992,3,"New York, NY (USA)",03 NOV 2019,Men,Marathon
861,2:08:38,Daniel Kiplagat Cheribo,KEN,1981,1,Milano (ITA),28 NOV 2004,Men,Marathon
861,2:08:38,Fredrick Cherono,KEN,23 NOV 1977,1,Torino (ITA),18 APR 2004,Men,Marathon
861,2:08:38,Laban Kipkemboi,KEN,30 DEC 1977,3,Seoul (KOR),18 MAR 2007,Men,Marathon
861,2:08:38,Joseph Kimeli Langat,KEN,08 OCT 1986,8,Paris (FRA),15 APR 2012,Men,Marathon
861,2:08:38,Sammy Kiptoo Kurgat,KEN,1975,3,Frankfurt (GER),28 OCT 2007,Men,Marathon
861,2:08:38,James Mwangi Macharia,KEN,23 JUN 1984,2,Fukuoka (JPN),04 DEC 2011,Men,Marathon
863,2:27:42,Belainesh Yami Gurmu,ETH,1988,1,Shenzhen (CHN),15 DEC 2019,Women,Marathon
864,2:27:44,Claire Hallissey,GBR,17 MAR 1983,11,London (GBR),22 APR 2012,Women,Marathon
864,2:27:44,Franziska Rochat-Moser,SUI,17 AUG 1966,1,Frankfurt (GER),23 OCT 1994,Women,Marathon
864,2:27:44,Ikumi Nagayama,JPN,22 JUN 1974,8,Nagoya (JPN),11 MAR 2001,Women,Marathon
864,2:27:44,Maryna Damantsevich,BLR,10 FEB 1984,4,"Olympiastadion, Berlin (GER)",12 AUG 2018,Women,Marathon
868,2:27:46,Anne Jepkemboi Kosgei,KEN,1980,1,Venezia (ITA),25 OCT 2009,Women,Marathon
868,2:27:46,Kebebush Yisma,ETH,31 OCT 1998,2,Chongqing (CHN),24 MAR 2024,Women,Marathon
868,2:27:46,Irina Bogachova,KGZ,30 MAY 1961,5,"Chicago, IL (USA)",24 OCT 1999,Women,Marathon
868,2:27:46,Dorota Gruca,POL,05 DEC 1970,13,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,Women,Marathon
869,2:08:39,Joshua Kogo,KEN,1987,4,Wien (AUT),23 APR 2023,Men,Marathon
869,2:08:39,Mark Lokwanamoi,KEN,01 FEB 1988,5,Dubai (UAE),20 JAN 2017,Men,Marathon
869,2:08:39,Boniface Mbuvi Muema,KEN,20 DEC 1986,2,Gongju (KOR),21 OCT 2012,Men,Marathon
869,2:08:39,Bellor Miningwo Yator,KEN,01 JAN 1984,5,Košice (SVK),07 OCT 2012,Men,Marathon
869,2:08:39,Daniel Kiprop Limo,KEN,10 DEC 1983,2,La Rochelle (FRA),27 NOV 2011,Men,Marathon
869,2:08:39,Liam Adams,AUS,04 SEP 1986,3,Gold Coast (AUS),02 JUL 2023,Men,Marathon
869,2:08:39,Wilfred Kirwa Kigen,KEN,21 JAN 1986,1,Riyadh (KSA),10 FEB 2024,Men,Marathon
872,2:27:47,Ebsite Tilahun,ETH,13 OCT 2001,6,Košice (SVK),02 OCT 2022,Women,Marathon
872,2:27:47,Stephanie Bruce,USA,14 JAN 1984,6,"Chicago, IL (USA)",13 OCT 2019,Women,Marathon
872,2:27:47,Iwona Lewandowska,POL,19 FEB 1985,11,London (GBR),26 APR 2015,Women,Marathon
875,2:27:48,Motu Megersa,ETH,22 OCT 1994,1,Dublin (IRL),27 OCT 2019,Women,Marathon
875,2:27:48,Sun-Young Lee,KOR,20 AUG 1984,2,Seoul (KOR),14 MAR 2009,Women,Marathon
876,2:08:40,Moses Kurgat,KEN,21 NOV 1984,3,Gongju (KOR),21 OCT 2012,Men,Marathon
876,2:08:40,Ryoma Takeuchi,JPN,29 MAY 1992,3,Hofu (JPN),03 DEC 2023,Men,Marathon
876,2:08:40,Daniel Nghidinwa Paulus,NAM,17 JAN 1997,8,Daegu (KOR),02 APR 2023,Men,Marathon
876,2:08:40,José Manuel García,ESP,24 JAN 1966,3,Tokyo (JPN),08 FEB 1998,Men,Marathon
876,2:08:40,Willy Kalombo Mwenze,COD,07 JUN 1970,3,Paris (FRA),04 APR 1999,Men,Marathon
876,2:08:40,Sezgin Ataç,TUR,21 MAR 1998,23,Sevilla (ESP),18 FEB 2024,Men,Marathon
876,2:08:40,Michaël Gras,FRA,15 SEP 1991,32,Valencia (ESP),03 DEC 2023,Men,Marathon
877,2:27:49,Ying Lu,CHN,13 OCT 1997,4,Beijing (CHN),29 OCT 2023,Women,Marathon
877,2:27:49,Laura Fogli,ITA,05 OCT 1959,6,"Olympic Stadium, Seoul (KOR)",23 SEP 1988,Women,Marathon
877,2:27:49,Ornella Ferrara,ITA,17 APR 1968,1,Roma (ITA),28 MAR 2004,Women,Marathon
877,2:27:49,Genet Habela Abdurkadir,ETH,30 NOV 1997,3,Dublin (IRL),29 OCT 2023,Women,Marathon
881,2:27:50,Beji Bekelu,ETH,21 AUG 1999,7,Sevilla (ESP),23 FEB 2020,Women,Marathon
881,2:27:50,Kim Jones,USA,02 MAY 1958,2,Berlin (GER),29 SEP 1991,Women,Marathon
881,2:27:50,Diane Nukuri,BDI,01 DEC 1984,12,London (GBR),26 APR 2015,Women,Marathon
881,2:27:50,Anja Scherl,GER,12 APR 1986,3,Hamburg (GER),17 APR 2016,Women,Marathon
883,2:08:41,Solomon Bushendich,KEN,10 JAN 1984,2,Košice (SVK),03 OCT 2010,Men,Marathon
883,2:08:41,Josephat Kilimo Keiyo,KEN,1982,5,Berlin (GER),30 SEP 2012,Men,Marathon
885,2:08:42,Jackson Kabiga,KEN,01 DEC 1976,1,Fukuoka (JPN),06 DEC 1998,Men,Marathon
885,2:08:42,Peter Kiplagat Chebet,KEN,24 JUN 1976,3,Košice (SVK),03 OCT 2010,Men,Marathon
885,2:08:42,Emmanuel Kibet,KEN,12 DEC 1995,4,Rabat (MAR),21 APR 2019,Men,Marathon
885,2:08:42,Martin Musau,UGA,05 OCT 1998,9,Hamburg (GER),28 APR 2024,Men,Marathon
885,2:27:51,Woynishet Girma,ETH,28 JUL 1986,4,Amsterdam (NED),17 OCT 2010,Women,Marathon
885,2:27:51,Feyne Gemeda,ETH,28 JUN 1992,5,Madrid (ESP),24 APR 2022,Women,Marathon
885,2:27:51,Sofiya Shemsu,ETH,12 SEP 1994,6,Istanbul (TUR),03 NOV 2019,Women,Marathon
885,2:27:51,Kateryna Stetsenko,UKR,16 JAN 1982,2,Dublin (IRL),25 OCT 2010,Women,Marathon
889,2:27:52,Truphena Chepchirchir,KEN,21 JUN 1990,3,Dongying (CHN),20 APR 2019,Women,Marathon
889,2:08:43,Kiyohito Akiyama,JPN,19 NOV 1994,7,Fukuoka (JPN),04 DEC 2022,Men,Marathon
889,2:08:43,Fikadu Teferi,ETH,07 OCT 1993,1,Marrakech (MAR),27 JAN 2019,Men,Marathon
889,2:08:43,Erick Wainaina,KEN,19 DEC 1973,1,Tokyo (JPN),10 FEB 2002,Men,Marathon
889,2:08:43,Muneyuki Ojima,JPN,25 SEP 1975,1,Otsu (JPN),01 MAR 1998,Men,Marathon
889,2:08:43,Abraham Chelanga,KEN,09 SEP 1984,11,Paris (FRA),05 APR 2009,Men,Marathon
890,2:27:53,Mirriam Wangari,KEN,22 FEB 1979,3,Xiamen (CHN),03 JAN 2015,Women,Marathon
890,2:27:53,Monica Pont,ESP,03 JUN 1969,4,Osaka (JPN),28 JAN 1996,Women,Marathon
892,2:27:54,Leila Aman,ETH,24 NOV 1977,5,Berlin (GER),26 SEP 2004,Women,Marathon
892,2:27:54,Ayaka Inoue,JPN,19 JUN 1991,11,Osaka (JPN),26 JAN 2020,Women,Marathon
892,2:27:54,Miharu Shimokado,JPN,24 APR 1990,6,Nagoya (JPN),12 MAR 2017,Women,Marathon
892,2:27:54,Tiziana Alagia,ITA,08 MAR 1973,1,Torino (ITA),01 APR 2001,Women,Marathon
894,2:08:44,Yuki Takei,JPN,01 DEC 1999,16,Osaka (JPN),25 FEB 2024,Men,Marathon
894,2:08:44,Amaury Paquet,BEL,23 MAY 1991,35,Valencia (ESP),03 DEC 2023,Men,Marathon
894,2:08:44,Hugo Catrileo,CHI,27 JAN 1997,5,"Houston, TX (USA)",14 JAN 2024,Men,Marathon
894,2:08:44,Naoki Aiba,JPN,24 JAN 1991,5,Oita (JPN),06 FEB 2022,Men,Marathon
894,2:08:44,Shuhei Kurata,JPN,05 AUG 1992,21,Tokyo (JPN),01 MAR 2020,Men,Marathon
894,2:08:44,Jepkopol Kamzee,KEN,11 FEB 1984,6,Berlin (GER),30 SEP 2012,Men,Marathon
894,2:08:44,Ryo Yamamoto,JPN,18 MAY 1984,3,Otsu (JPN),04 MAR 2012,Men,Marathon
894,2:08:44,Wodajo Bulti,ETH,11 MAR 1957,3,Rotterdam (NED),17 APR 1988,Men,Marathon
896,2:27:55,Lamei Sun,CHN,04 JAN 1991,2,Beijing (CHN),25 NOV 2012,Women,Marathon
896,2:27:55,Midori Fumoto-Shimizu,JPN,18 DEC 1971,4,Nagoya (JPN),12 MAR 2000,Women,Marathon
896,2:27:55,Yuanyuan Yin,CHN,31 MAY 1991,3,Dalian (CHN),30 APR 2011,Women,Marathon
896,2:27:55,Mari Tanigawa,JPN,27 OCT 1962,1,Paris (FRA),24 APR 1994,Women,Marathon
896,2:27:55,Claudia Dreher,GER,02 MAY 1971,1,Hannover (GER),16 MAY 1999,Women,Marathon
901,2:27:56,Tecla Kirongo,KEN,05 MAY 1993,2,Cape Town (RSA),16 OCT 2022,Women,Marathon
901,2:27:56,Selamawit Getnet,ETH,,1,Málaga (ESP),15 DEC 2019,Women,Marathon
901,2:27:56,Hawi Alemu Negari,ETH,24 JAN 1998,1,Marrakech (MAR),26 JAN 2020,Women,Marathon
902,2:08:45,Takuya Fujikawa,JPN,17 DEC 1992,22,Tokyo (JPN),01 MAR 2020,Men,Marathon
